entry_id,entry_type,order_id,payment_id,method,gross,fee,tax,net,settlement_id,created_at,settled_at,narration
ENT_000036,payment,ORD_000007,PAY_000036,card,446200,8924,1606,435670,STL_0003,2026-06-03T12:55:38,2026-06-05,
ENT_000035,payment,ORD_000013,PAY_000035,upi,2862200,0,0,2862200,STL_0003,2026-06-03T12:55:54,2026-06-05,
ENT_000037,payment,ORD_000040,PAY_000037,card,703100,14062,2531,686507,STL_0003,2026-06-03T13:27:06,2026-06-05,
ENT_000038,payment,ORD_000434,PAY_000038,upi,85100,0,0,85100,STL_0003,2026-06-03T15:11:38,2026-06-05,
ENT_000039,payment,ORD_000035,PAY_000039,card,109300,2186,393,106721,STL_0003,2026-06-03T21:15:38,2026-06-05,
ENT_000040,payment,ORD_000147,PAY_000040,card,347200,6944,1250,339006,STL_0003,2026-06-03T22:00:55,2026-06-05,
ENT_000515,tds,,,,0,0,0,-7560,STL_0001,2026-06-03T23:06:11,2026-06-03,TDS u/s 194-O on settlement gross
ENT_000602,adjustment,,,,1137400,0,0,1137400,STL_0001,2026-06-03T23:13:13,2026-06-03,OPS ADJ FINAL
ENT_000041,payment,ORD_000289,PAY_000041,upi,138700,0,0,138700,STL_0004,2026-06-04T06:45:37,2026-06-08,
ENT_000520,settlement,,,,0,0,0,-34168664,STL_0002,2026-06-04T06:54:32,2026-06-04,Settlement payout UTR HDFCN26060400002
ENT_000042,payment,ORD_000023,PAY_000042,card,59200,1184,213,57803,STL_0004,2026-06-04T08:17:22,2026-06-08,
ENT_000519,rolling_reserve_hold,,,,0,0,0,-1842898,STL_0002,2026-06-04T08:46:04,2026-06-04,Rolling reserve hold
ENT_000501,refund,ORD_000040,PAY_000037,card,379938,0,0,-379938,STL_0004,2026-06-04T09:26:05,2026-06-08,Refund against PAY_000037
ENT_000600,adjustment,,,,846400,0,0,-846400,STL_0002,2026-06-04T10:55:53,2026-06-04,SETTLEMENT CORR 2026-06
ENT_000518,tds,,,,0,0,0,-37034,STL_0002,2026-06-04T12:16:46,2026-06-04,TDS u/s 194-O on settlement gross
ENT_000044,payment,ORD_000048,PAY_000044,card,133700,2674,481,130545,STL_0004,2026-06-04T12:48:50,2026-06-08,
ENT_000045,payment,ORD_000275,PAY_000045,upi,101900,0,0,101900,STL_0004,2026-06-04T13:15:56,2026-06-08,
ENT_000046,payment,ORD_000499,PAY_000046,upi,25800,0,0,25800,STL_0004,2026-06-04T13:30:16,2026-06-08,
ENT_000047,payment,ORD_000187,PAY_000047,upi,66900,0,0,66900,STL_0004,2026-06-04T13:59:17,2026-06-08,
ENT_000048,payment,ORD_000452,PAY_000048,card,97800,1956,352,95492,STL_0004,2026-06-04T14:37:15,2026-06-08,
ENT_000049,payment,ORD_000316,PAY_000049,netbanking,112800,2143,386,110271,STL_0004,2026-06-04T15:54:04,2026-06-08,
ENT_000050,payment,ORD_000074,PAY_000050,upi,607800,0,0,607800,STL_0004,2026-06-04T17:02:07,2026-06-08,
ENT_000051,payment,ORD_000204,PAY_000051,card,3089600,61792,11123,3016685,STL_0004,2026-06-04T17:48:51,2026-06-08,
ENT_000052,payment,ORD_000364,PAY_000052,upi,125900,0,0,125900,STL_0004,2026-06-04T21:23:14,2026-06-08,
ENT_000053,payment,ORD_000309,PAY_000053,netbanking,141200,2683,483,138034,STL_0004,2026-06-04T23:40:54,2026-06-08,
ENT_000482,refund,ORD_000355,PAY_000034,upi,487800,0,0,-487800,STL_0004,2026-06-05T06:29:38,2026-06-08,Refund against PAY_000034
ENT_000521,tds,,,,0,0,0,-10016,STL_0003,2026-06-05T06:52:37,2026-06-05,TDS u/s 194-O on settlement gross
ENT_000054,payment,ORD_000432,PAY_000054,wallet,157600,3152,567,153881,STL_0004,2026-06-05T06:54:44,2026-06-08,
ENT_000055,payment,ORD_000148,PAY_000055,upi,62100,0,0,62100,STL_0004,2026-06-05T06:59:13,2026-06-08,
ENT_000056,payment,ORD_000429,PAY_000056,netbanking,66000,1254,226,64520,STL_0004,2026-06-05T08:55:41,2026-06-08,
ENT_000057,payment,ORD_000005,PAY_000057,card,87700,1754,316,85630,STL_0004,2026-06-05T09:32:22,2026-06-08,
ENT_000058,payment,ORD_000172,PAY_000058,card,45600,912,164,44524,STL_0004,2026-06-05T09:51:21,2026-06-08,
ENT_000059,payment,ORD_000016,PAY_000059,card,239800,4796,863,234141,STL_0004,2026-06-05T10:44:31,2026-06-08,
ENT_000060,payment,ORD_000470,PAY_000060,card,31500,630,113,30757,STL_0004,2026-06-05T11:30:09,2026-06-08,
ENT_000061,payment,ORD_000443,PAY_000061,upi,121700,0,0,121700,STL_0004,2026-06-05T12:03:24,2026-06-08,
ENT_000523,settlement,,,,0,0,0,-9374916,STL_0003,2026-06-05T12:58:02,2026-06-05,Settlement payout UTR HDFCN26060500003
ENT_000062,payment,ORD_000193,PAY_000062,card,26600,532,96,25972,STL_0004,2026-06-05T14:37:36,2026-06-08,
ENT_000063,payment,ORD_000086,PAY_000063,card,87500,1750,315,85435,STL_0004,2026-06-05T16:22:38,2026-06-08,
ENT_000064,payment,ORD_000493,PAY_000064,netbanking,581100,11041,1987,568072,STL_0004,2026-06-05T17:16:16,2026-06-08,
ENT_000065,payment,ORD_000300,PAY_000065,wallet,1317900,26377,4744,1286779,STL_0004,2026-06-05T18:02:18,2026-06-08,
ENT_000066,payment,ORD_000217,PAY_000066,upi,24310200,0,0,24310200,STL_0004,2026-06-05T18:21:53,2026-06-08,
ENT_000067,payment,ORD_000421,PAY_000067,upi,5790300,0,0,5790300,STL_0004,2026-06-05T18:34:20,2026-06-08,
ENT_000522,rolling_reserve_hold,,,,0,0,0,-493417,STL_0003,2026-06-05T18:49:37,2026-06-05,Rolling reserve hold
ENT_000068,payment,ORD_000380,PAY_000068,wallet,136900,2738,493,133669,STL_0004,2026-06-05T19:06:02,2026-06-08,
ENT_000069,payment,ORD_000223,PAY_000069,upi,1884800,0,0,1884800,STL_0004,2026-06-05T20:03:29,2026-06-08,
ENT_000070,payment,ORD_000139,PAY_000070,upi,30400,0,0,30400,STL_0004,2026-06-05T20:18:32,2026-06-08,
ENT_000071,payment,ORD_000206,PAY_000071,upi,138500,0,0,138500,STL_0004,2026-06-05T21:44:10,2026-06-08,
ENT_000072,payment,ORD_000318,PAY_000072,card,122300,2446,440,119414,STL_0004,2026-06-05T22:03:08,2026-06-08,
ENT_000073,payment,ORD_000221,PAY_000073,card,1462800,29256,5266,1428278,STL_0004,2026-06-05T22:55:21,2026-06-08,
ENT_000075,payment,ORD_000341,PAY_000075,upi,491200,0,0,491200,STL_0004,2026-06-05T23:40:05,2026-06-08,
ENT_000074,payment,ORD_000079,PAY_000074,wallet,77600,1552,279,75769,STL_0004,2026-06-05T23:43:32,2026-06-08,
ENT_000076,payment,ORD_000265,PAY_000076,card,21200,424,76,20700,STL_0004,2026-06-06T09:42:54,2026-06-08,
ENT_000077,payment,ORD_000291,PAY_000077,upi,461400,0,0,461400,STL_0004,2026-06-06T10:57:45,2026-06-08,
ENT_000078,payment,ORD_000277,PAY_000078,card,305500,6110,1100,298290,STL_0004,2026-06-06T11:32:04,2026-06-08,
ENT_000079,payment,ORD_000385,PAY_000079,netbanking,104400,1984,357,102059,STL_0004,2026-06-06T12:39:49,2026-06-08,
ENT_000512,adjustment,,,,27900,0,0,27900,STL_0004,2026-06-06T13:45:47,2026-06-08,CR ADJ - see support ticket 4471
ENT_000080,payment,ORD_000371,PAY_000080,card,136500,2730,491,133279,STL_0004,2026-06-06T16:04:55,2026-06-08,
ENT_000081,payment,ORD_000495,PAY_000081,upi,3992900,0,0,3992900,STL_0004,2026-06-06T16:19:09,2026-06-08,
ENT_000082,payment,ORD_000500,PAY_000082,upi,5191000,0,0,5191000,STL_0004,2026-06-06T16:38:00,2026-06-08,
ENT_000083,payment,ORD_000201,PAY_000083,card,714900,14298,2574,698028,STL_0004,2026-06-06T17:18:43,2026-06-08,
ENT_000596,payment,ORD_TEST_88047,PAY_000482,upi,356900,0,0,356900,STL_0004,2026-06-06T17:22:12,2026-06-08,
ENT_000084,payment,ORD_000092,PAY_000084,wallet,405500,8145,1460,395895,STL_0004,2026-06-06T18:27:47,2026-06-08,
ENT_000085,payment,ORD_000061,PAY_000085,wallet,132000,2640,475,128885,STL_0004,2026-06-06T19:32:42,2026-06-08,
ENT_000086,payment,ORD_000115,PAY_000086,netbanking,102100,1940,349,99811,STL_0004,2026-06-06T21:31:46,2026-06-08,
ENT_000087,payment,ORD_000011,PAY_000087,upi,22777200,0,0,22777200,STL_0004,2026-06-06T23:24:11,2026-06-08,
ENT_000088,payment,ORD_000049,PAY_000088,netbanking,355700,6758,1216,347726,STL_0005,2026-06-07T07:13:00,2026-06-09,
ENT_000089,payment,ORD_000154,PAY_000089,upi,664000,0,0,664000,STL_0005,2026-06-07T07:31:20,2026-06-09,
ENT_000090,payment,ORD_000093,PAY_000090,card,71600,1432,258,69910,STL_0005,2026-06-07T10:01:19,2026-06-09,
ENT_000091,payment,ORD_000063,PAY_000091,card,120100,2402,432,117266,STL_0005,2026-06-07T12:26:43,2026-06-09,
ENT_000092,payment,ORD_000344,PAY_000092,upi,607800,0,0,607800,STL_0005,2026-06-07T12:33:00,2026-06-09,
ENT_000093,payment,ORD_000059,PAY_000093,card,5868000,117360,21125,5729515,STL_0005,2026-06-07T14:34:38,2026-06-09,
ENT_000094,payment,ORD_000100,PAY_000094,card,131900,2638,475,128787,STL_0005,2026-06-07T14:35:59,2026-06-09,
ENT_000095,payment,ORD_000169,PAY_000095,upi,7325800,0,0,7325800,STL_0005,2026-06-07T16:21:07,2026-06-09,
ENT_000096,payment,ORD_000167,PAY_000096,card,1451100,29022,5224,1416854,STL_0005,2026-06-07T17:36:07,2026-06-09,
ENT_000097,payment,ORD_000409,PAY_000097,card,555400,11096,1999,542305,STL_0005,2026-06-07T19:48:26,2026-06-09,
ENT_000098,payment,ORD_000033,PAY_000098,netbanking,66900,1271,229,65400,STL_0005,2026-06-07T20:16:35,2026-06-09,
ENT_000099,payment,ORD_000461,PAY_000099,upi,348700,0,0,348700,STL_0005,2026-06-07T20:37:29,2026-06-09,
ENT_000505,refund,ORD_000465,PAY_000013,upi,226200,0,0,-226200,STL_0005,2026-06-07T20:59:59,2026-06-09,Refund against PAY_000013
ENT_000100,payment,ORD_000031,PAY_000100,upi,94000,0,0,94000,STL_0005,2026-06-07T21:00:53,2026-06-09,
ENT_000101,payment,ORD_000129,PAY_000101,netbanking,3671200,69753,12556,3588891,STL_0005,2026-06-07T21:21:59,2026-06-09,
ENT_000102,payment,ORD_000030,PAY_000102,card,349000,6980,1256,340764,STL_0005,2026-06-07T21:53:26,2026-06-09,
ENT_000103,payment,ORD_000402,PAY_000103,wallet,550900,11018,1983,537899,STL_0005,2026-06-07T22:44:33,2026-06-09,
ENT_000104,payment,ORD_000107,PAY_000104,upi,12700,0,0,12700,STL_0005,2026-06-07T23:21:18,2026-06-09,
ENT_000105,payment,ORD_000118,PAY_000105,upi,1267900,0,0,1267900,STL_0006,2026-06-08T07:25:15,2026-06-10,
ENT_000106,payment,ORD_000028,PAY_000106,upi,139100,0,0,139100,STL_0006,2026-06-08T07:26:50,2026-06-10,
ENT_000107,payment,ORD_000102,PAY_000107,upi,13400,0,0,13400,STL_0006,2026-06-08T08:29:35,2026-06-10,
ENT_000108,payment,ORD_000116,PAY_000108,upi,521900,0,0,521900,STL_0006,2026-06-08T08:51:06,2026-06-10,
ENT_000526,settlement,,,,0,0,0,-71745173,STL_0004,2026-06-08T10:23:25,2026-06-08,Settlement payout UTR HDFCN26060800004
ENT_000109,payment,ORD_000054,PAY_000109,upi,3463200,0,0,3463200,STL_0006,2026-06-08T11:14:22,2026-06-10,
ENT_000110,payment,ORD_000105,PAY_000110,upi,119600,0,0,119600,STL_0006,2026-06-08T11:20:49,2026-06-10,
ENT_000111,payment,ORD_000055,PAY_000111,card,962400,19248,3465,939687,STL_0006,2026-06-08T11:54:41,2026-06-10,
ENT_000112,payment,ORD_000411,PAY_000112,netbanking,69000,1311,236,67453,STL_0006,2026-06-08T11:58:36,2026-06-10,
ENT_000113,payment,ORD_000098,PAY_000113,netbanking,102200,1942,350,99908,STL_0006,2026-06-08T13:49:56,2026-06-10,
ENT_000114,payment,ORD_000073,PAY_000114,upi,606600,0,0,606600,STL_0006,2026-06-08T14:07:52,2026-06-10,
ENT_000115,payment,ORD_000181,PAY_000115,upi,29300,0,0,29300,STL_0006,2026-06-08T16:40:59,2026-06-10,
ENT_000116,payment,ORD_000347,PAY_000116,netbanking,119100,2263,407,116430,STL_0006,2026-06-08T17:29:18,2026-06-10,
ENT_000117,payment,ORD_000442,PAY_000117,upi,12300,0,0,12300,STL_0006,2026-06-08T18:02:57,2026-06-10,
ENT_000118,payment,ORD_000487,PAY_000118,netbanking,329700,6264,1128,322308,STL_0006,2026-06-08T18:26:44,2026-06-10,
ENT_000119,payment,ORD_000369,PAY_000119,netbanking,652800,12403,2233,638164,STL_0006,2026-06-08T18:53:55,2026-06-10,
ENT_000120,payment,ORD_000279,PAY_000120,upi,67500,0,0,67500,STL_0006,2026-06-08T21:40:07,2026-06-10,
ENT_000121,payment,ORD_000070,PAY_000121,wallet,60000,1200,216,58584,STL_0006,2026-06-08T21:52:15,2026-06-10,
ENT_000524,tds,,,,0,0,0,-76683,STL_0004,2026-06-08T23:16:34,2026-06-08,TDS u/s 194-O on settlement gross
ENT_000525,rolling_reserve_hold,,,,0,0,0,-3776578,STL_0004,2026-06-08T23:30:41,2026-06-08,Rolling reserve hold
ENT_000122,payment,ORD_000330,PAY_000122,upi,18137300,0,0,18137300,STL_0006,2026-06-08T23:34:11,2026-06-10,
ENT_000493,refund,ORD_000028,PAY_000106,upi,139100,0,0,-139100,STL_0007,2026-06-09T03:36:01,2026-06-11,Refund against PAY_000106
ENT_000123,payment,ORD_000472,PAY_000123,netbanking,72200,1372,247,70581,STL_0007,2026-06-09T07:22:50,2026-06-11,
ENT_000124,payment,ORD_000290,PAY_000124,upi,740900,0,0,740900,STL_0007,2026-06-09T07:39:56,2026-06-11,
ENT_000125,payment,ORD_000091,PAY_000125,card,762700,15254,2746,744700,STL_0007,2026-06-09T09:54:19,2026-06-11,
ENT_000480,refund,ORD_000270,PAY_000004,card,163072,0,0,-163072,STL_0007,2026-06-09T11:47:28,2026-06-11,Refund against PAY_000004
ENT_000527,tds,,,,0,0,0,-22245,STL_0005,2026-06-09T13:57:49,2026-06-09,TDS u/s 194-O on settlement gross
ENT_000126,payment,ORD_000485,PAY_000126,upi,174000,0,0,174000,STL_0007,2026-06-09T14:14:19,2026-06-11,
ENT_000127,payment,ORD_000134,PAY_000127,upi,113800,0,0,113800,STL_0007,2026-06-09T15:00:25,2026-06-11,
ENT_000528,rolling_reserve_hold,,,,0,0,0,-1084493,STL_0005,2026-06-09T15:08:29,2026-06-09,Rolling reserve hold
ENT_000128,payment,ORD_000297,PAY_000128,card,2750400,55008,9901,2685491,STL_0007,2026-06-09T15:51:31,2026-06-11,
ENT_000130,payment,ORD_000157,PAY_000130,netbanking,3957800,75198,13536,3869066,STL_0007,2026-06-09T16:01:01,2026-06-11,
ENT_000129,payment,ORD_000430,PAY_000129,upi,138000,0,0,138000,STL_0007,2026-06-09T16:01:21,2026-06-11,
ENT_000131,payment,ORD_000453,PAY_000131,netbanking,556400,10572,1903,543925,STL_0007,2026-06-09T20:34:15,2026-06-11,
ENT_000132,payment,ORD_000255,PAY_000132,upi,48000,0,0,48000,STL_0007,2026-06-09T21:40:19,2026-06-11,
ENT_000529,settlement,,,,0,0,0,-20605367,STL_0005,2026-06-09T22:32:05,2026-06-09,Settlement payout UTR HDFCN26060900005
ENT_000133,payment,ORD_000374,PAY_000133,upi,101800,0,0,101800,STL_0007,2026-06-09T23:50:26,2026-06-11,
ENT_000531,tds,,,,0,0,0,-26673,STL_0006,2026-06-10T06:42:15,2026-06-10,TDS u/s 194-O on settlement gross
ENT_000135,payment,ORD_000272,PAY_000135,netbanking,24800,471,85,24244,STL_0008,2026-06-10T07:21:50,2026-06-12,
ENT_000599,payment,ORD_TEST_26173,PAY_000485,wallet,137700,2754,496,134450,STL_0008,2026-06-10T08:07:47,2026-06-12,
ENT_000136,payment,ORD_000257,PAY_000136,upi,37600,0,0,37600,STL_0008,2026-06-10T08:32:02,2026-06-12,
ENT_000137,payment,ORD_000203,PAY_000137,upi,44300,0,0,44300,STL_0008,2026-06-10T08:39:59,2026-06-12,
ENT_000138,payment,ORD_000119,PAY_000138,card,3678000,73560,13241,3591199,STL_0008,2026-06-10T09:43:23,2026-06-12,
ENT_000139,payment,ORD_000268,PAY_000139,wallet,288100,5762,1037,281301,STL_0008,2026-06-10T10:22:40,2026-06-12,
ENT_000140,payment,ORD_000164,PAY_000140,upi,119900,0,0,119900,STL_0008,2026-06-10T10:27:04,2026-06-12,
ENT_000533,settlement,,,,0,0,0,-25618535,STL_0006,2026-06-10T10:28:10,2026-06-10,Settlement payout UTR HDFCN26061000006
ENT_000141,payment,ORD_000229,PAY_000141,card,115000,2300,414,112286,STL_0008,2026-06-10T11:04:02,2026-06-12,
ENT_000532,rolling_reserve_hold,,,,0,0,0,-1348344,STL_0006,2026-06-10T11:48:32,2026-06-10,Rolling reserve hold
ENT_000142,payment,ORD_000069,PAY_000142,netbanking,226500,4304,775,221421,STL_0008,2026-06-10T13:47:28,2026-06-12,
ENT_000143,payment,ORD_000267,PAY_000143,upi,122700,0,0,122700,STL_0008,2026-06-10T14:22:44,2026-06-12,
ENT_000144,payment,ORD_000145,PAY_000144,wallet,21300,426,77,20797,STL_0008,2026-06-10T15:34:52,2026-06-12,
ENT_000145,payment,ORD_000340,PAY_000145,wallet,334600,6692,1205,326703,STL_0008,2026-06-10T16:06:03,2026-06-12,
ENT_000146,payment,ORD_000266,PAY_000146,upi,2277600,0,0,2277600,STL_0008,2026-06-10T17:40:42,2026-06-12,
ENT_000511,adjustment,,,,269600,0,0,-269600,STL_0008,2026-06-10T17:51:20,2026-06-12,Rolling reserve released early on merchant request
ENT_000147,payment,ORD_000021,PAY_000147,netbanking,275200,5229,941,269030,STL_0008,2026-06-10T17:56:20,2026-06-12,
ENT_000148,payment,ORD_000387,PAY_000148,upi,796400,0,0,796400,STL_0008,2026-06-10T18:12:45,2026-06-12,
ENT_000530,rolling_reserve_release,,,,0,0,0,372918,STL_0006,2026-06-10T18:23:32,2026-06-10,Rolling reserve release
ENT_000149,payment,ORD_000120,PAY_000149,upi,554500,0,0,554500,STL_0008,2026-06-10T20:14:51,2026-06-12,
ENT_000151,payment,ORD_000186,PAY_000151,card,276700,5534,996,270170,STL_0008,2026-06-10T21:15:21,2026-06-12,
ENT_000150,payment,ORD_000386,PAY_000150,netbanking,3481300,66145,11906,3403249,STL_0008,2026-06-10T21:15:46,2026-06-12,
ENT_000595,payment,ORD_000386,PAY_000481,netbanking,3481300,66145,11906,3403249,STL_0008,2026-06-10T21:16:24,2026-06-12,
ENT_000152,payment,ORD_000135,PAY_000152,card,690600,13812,2486,674302,STL_0008,2026-06-10T22:06:47,2026-06-12,
ENT_000153,payment,ORD_000065,PAY_000153,wallet,436900,8738,1573,426589,STL_0008,2026-06-10T23:22:51,2026-06-12,
ENT_000155,payment,ORD_000367,PAY_000155,card,468700,9374,1687,457639,STL_0008,2026-06-10T23:26:33,2026-06-12,
ENT_000154,payment,ORD_000447,PAY_000154,upi,10073100,0,0,10073100,STL_0008,2026-06-10T23:31:47,2026-06-12,
ENT_000156,payment,ORD_000408,PAY_000156,upi,83400,0,0,83400,STL_0009,2026-06-11T06:33:18,2026-06-15,
ENT_000157,payment,ORD_000232,PAY_000157,card,1701700,34034,6126,1661540,STL_0009,2026-06-11T07:25:02,2026-06-15,
ENT_000158,payment,ORD_000192,PAY_000158,wallet,786300,15726,2831,767743,STL_0009,2026-06-11T09:07:18,2026-06-15,
ENT_000159,payment,ORD_000381,PAY_000159,upi,5066600,0,0,5066600,STL_0009,2026-06-11T10:24:23,2026-06-15,
ENT_000160,payment,ORD_000405,PAY_000160,upi,86300,0,0,86300,STL_0009,2026-06-11T10:44:52,2026-06-15,
ENT_000535,tds,,,,0,0,0,-9469,STL_0007,2026-06-11T10:47:46,2026-06-11,TDS u/s 194-O on settlement gross
ENT_000534,rolling_reserve_release,,,,0,0,0,1842898,STL_0007,2026-06-11T11:36:36,2026-06-11,Rolling reserve release
ENT_000162,payment,ORD_000078,PAY_000162,upi,40700,0,0,40700,STL_0009,2026-06-11T13:27:37,2026-06-15,
ENT_000161,payment,ORD_000056,PAY_000161,wallet,5617200,112344,20222,5484634,STL_0009,2026-06-11T13:28:37,2026-06-15,
ENT_000537,settlement,,,,0,0,0,-10220847,STL_0007,2026-06-11T13:48:31,2026-06-11,Settlement payout UTR HDFCN26061100007
ENT_000163,payment,ORD_000349,PAY_000163,card,19200,384,69,18747,STL_0009,2026-06-11T13:51:35,2026-06-15,
ENT_000164,payment,ORD_000158,PAY_000164,netbanking,9689800,184106,33139,9472555,STL_0009,2026-06-11T14:09:47,2026-06-15,
ENT_000165,payment,ORD_000087,PAY_000165,netbanking,96200,1828,329,94043,STL_0009,2026-06-11T15:07:14,2026-06-15,
ENT_000167,payment,ORD_000208,PAY_000167,upi,667200,0,0,667200,STL_0009,2026-06-11T15:53:00,2026-06-15,
ENT_000166,payment,ORD_000125,PAY_000166,card,111300,2226,401,108673,STL_0009,2026-06-11T15:54:01,2026-06-15,
ENT_000168,payment,ORD_000012,PAY_000168,card,16400,328,59,16013,STL_0009,2026-06-11T16:36:48,2026-06-15,
ENT_000169,payment,ORD_000287,PAY_000169,card,395100,7902,1422,385776,STL_0009,2026-06-11T16:38:15,2026-06-15,
ENT_000170,payment,ORD_000274,PAY_000170,upi,9427900,0,0,9427900,STL_0009,2026-06-11T17:40:03,2026-06-15,
ENT_000171,payment,ORD_000424,PAY_000171,upi,525500,0,0,525500,STL_0009,2026-06-11T18:06:58,2026-06-15,
ENT_000172,payment,ORD_000137,PAY_000172,upi,341300,0,0,341300,STL_0009,2026-06-11T19:14:45,2026-06-15,
ENT_000173,payment,ORD_000471,PAY_000173,wallet,52400,1048,189,51163,STL_0009,2026-06-11T20:33:44,2026-06-15,
ENT_000174,payment,ORD_000373,PAY_000174,upi,73000,0,0,73000,STL_0009,2026-06-11T20:36:31,2026-06-15,
ENT_000536,rolling_reserve_hold,,,,0,0,0,-540673,STL_0007,2026-06-11T21:22:02,2026-06-11,Rolling reserve hold
ENT_000175,payment,ORD_000352,PAY_000175,card,22821600,456432,82158,22283010,STL_0009,2026-06-11T21:41:12,2026-06-15,
ENT_000176,payment,ORD_000458,PAY_000176,card,247800,4945,892,241963,STL_0009,2026-06-11T22:57:40,2026-06-15,
ENT_000178,payment,ORD_000178,PAY_000178,upi,137700,0,0,137700,STL_0009,2026-06-11T23:50:47,2026-06-15,
