link_type,order_id,entry_id,settlement_id,line_id
order_entry,ORD_000023,ENT_000042,,
entry_settlement,,ENT_000042,STL_0004,
order_entry,ORD_000048,ENT_000044,,
entry_settlement,,ENT_000044,STL_0004,
order_entry,ORD_000275,ENT_000045,,
entry_settlement,,ENT_000045,STL_0004,
order_entry,ORD_000499,ENT_000046,,
entry_settlement,,ENT_000046,STL_0004,
order_entry,ORD_000187,ENT_000047,,
entry_settlement,,ENT_000047,STL_0004,
order_entry,ORD_000452,ENT_000048,,
entry_settlement,,ENT_000048,STL_0004,
order_entry,ORD_000316,ENT_000049,,
entry_settlement,,ENT_000049,STL_0004,
order_entry,ORD_000074,ENT_000050,,
entry_settlement,,ENT_000050,STL_0004,
order_entry,ORD_000204,ENT_000051,,
entry_settlement,,ENT_000051,STL_0004,
order_entry,ORD_000364,ENT_000052,,
entry_settlement,,ENT_000052,STL_0004,
order_entry,ORD_000309,ENT_000053,,
entry_settlement,,ENT_000053,STL_0004,
order_entry,ORD_000432,ENT_000054,,
entry_settlement,,ENT_000054,STL_0004,
order_entry,ORD_000148,ENT_000055,,
entry_settlement,,ENT_000055,STL_0004,
order_entry,ORD_000429,ENT_000056,,
entry_settlement,,ENT_000056,STL_0004,
order_entry,ORD_000005,ENT_000057,,
entry_settlement,,ENT_000057,STL_0004,
order_entry,ORD_000172,ENT_000058,,
entry_settlement,,ENT_000058,STL_0004,
order_entry,ORD_000016,ENT_000059,,
entry_settlement,,ENT_000059,STL_0004,
order_entry,ORD_000470,ENT_000060,,
entry_settlement,,ENT_000060,STL_0004,
order_entry,ORD_000443,ENT_000061,,
entry_settlement,,ENT_000061,STL_0004,
order_entry,ORD_000193,ENT_000062,,
entry_settlement,,ENT_000062,STL_0004,
order_entry,ORD_000086,ENT_000063,,
entry_settlement,,ENT_000063,STL_0004,
order_entry,ORD_000493,ENT_000064,,
entry_settlement,,ENT_000064,STL_0004,
order_entry,ORD_000300,ENT_000065,,
entry_settlement,,ENT_000065,STL_0004,
order_entry,ORD_000217,ENT_000066,,
entry_settlement,,ENT_000066,STL_0004,
order_entry,ORD_000421,ENT_000067,,
entry_settlement,,ENT_000067,STL_0004,
order_entry,ORD_000380,ENT_000068,,
entry_settlement,,ENT_000068,STL_0004,
order_entry,ORD_000223,ENT_000069,,
entry_settlement,,ENT_000069,STL_0004,
order_entry,ORD_000139,ENT_000070,,
entry_settlement,,ENT_000070,STL_0004,
order_entry,ORD_000206,ENT_000071,,
entry_settlement,,ENT_000071,STL_0004,
order_entry,ORD_000318,ENT_000072,,
entry_settlement,,ENT_000072,STL_0004,
order_entry,ORD_000221,ENT_000073,,
entry_settlement,,ENT_000073,STL_0004,
order_entry,ORD_000079,ENT_000074,,
entry_settlement,,ENT_000074,STL_0004,
order_entry,ORD_000341,ENT_000075,,
entry_settlement,,ENT_000075,STL_0004,
order_entry,ORD_000265,ENT_000076,,
entry_settlement,,ENT_000076,STL_0004,
order_entry,ORD_000291,ENT_000077,,
entry_settlement,,ENT_000077,STL_0004,
order_entry,ORD_000277,ENT_000078,,
entry_settlement,,ENT_000078,STL_0004,
order_entry,ORD_000385,ENT_000079,,
entry_settlement,,ENT_000079,STL_0004,
order_entry,ORD_000371,ENT_000080,,
entry_settlement,,ENT_000080,STL_0004,
order_entry,ORD_000495,ENT_000081,,
entry_settlement,,ENT_000081,STL_0004,
order_entry,ORD_000500,ENT_000082,,
entry_settlement,,ENT_000082,STL_0004,
order_entry,ORD_000201,ENT_000083,,
entry_settlement,,ENT_000083,STL_0004,
order_entry,ORD_000092,ENT_000084,,
entry_settlement,,ENT_000084,STL_0004,
order_entry,ORD_000061,ENT_000085,,
entry_settlement,,ENT_000085,STL_0004,
order_entry,ORD_000115,ENT_000086,,
entry_settlement,,ENT_000086,STL_0004,
order_entry,ORD_000011,ENT_000087,,
entry_settlement,,ENT_000087,STL_0004,
order_entry,ORD_000049,ENT_000088,,
entry_settlement,,ENT_000088,STL_0005,
order_entry,ORD_000154,ENT_000089,,
entry_settlement,,ENT_000089,STL_0005,
order_entry,ORD_000093,ENT_000090,,
entry_settlement,,ENT_000090,STL_0005,
order_entry,ORD_000063,ENT_000091,,
entry_settlement,,ENT_000091,STL_0005,
order_entry,ORD_000344,ENT_000092,,
entry_settlement,,ENT_000092,STL_0005,
order_entry,ORD_000059,ENT_000093,,
entry_settlement,,ENT_000093,STL_0005,
order_entry,ORD_000100,ENT_000094,,
entry_settlement,,ENT_000094,STL_0005,
order_entry,ORD_000169,ENT_000095,,
entry_settlement,,ENT_000095,STL_0005,
order_entry,ORD_000167,ENT_000096,,
entry_settlement,,ENT_000096,STL_0005,
order_entry,ORD_000409,ENT_000097,,
entry_settlement,,ENT_000097,STL_0005,
order_entry,ORD_000033,ENT_000098,,
entry_settlement,,ENT_000098,STL_0005,
order_entry,ORD_000461,ENT_000099,,
entry_settlement,,ENT_000099,STL_0005,
order_entry,ORD_000031,ENT_000100,,
entry_settlement,,ENT_000100,STL_0005,
order_entry,ORD_000129,ENT_000101,,
entry_settlement,,ENT_000101,STL_0005,
order_entry,ORD_000030,ENT_000102,,
entry_settlement,,ENT_000102,STL_0005,
order_entry,ORD_000402,ENT_000103,,
entry_settlement,,ENT_000103,STL_0005,
order_entry,ORD_000107,ENT_000104,,
entry_settlement,,ENT_000104,STL_0005,
order_entry,ORD_000118,ENT_000105,,
entry_settlement,,ENT_000105,STL_0006,
order_entry,ORD_000028,ENT_000106,,
entry_settlement,,ENT_000106,STL_0006,
order_entry,ORD_000102,ENT_000107,,
entry_settlement,,ENT_000107,STL_0006,
order_entry,ORD_000116,ENT_000108,,
entry_settlement,,ENT_000108,STL_0006,
order_entry,ORD_000054,ENT_000109,,
entry_settlement,,ENT_000109,STL_0006,
order_entry,ORD_000105,ENT_000110,,
entry_settlement,,ENT_000110,STL_0006,
order_entry,ORD_000055,ENT_000111,,
entry_settlement,,ENT_000111,STL_0006,
order_entry,ORD_000411,ENT_000112,,
entry_settlement,,ENT_000112,STL_0006,
order_entry,ORD_000098,ENT_000113,,
entry_settlement,,ENT_000113,STL_0006,
order_entry,ORD_000073,ENT_000114,,
entry_settlement,,ENT_000114,STL_0006,
order_entry,ORD_000181,ENT_000115,,
entry_settlement,,ENT_000115,STL_0006,
order_entry,ORD_000347,ENT_000116,,
entry_settlement,,ENT_000116,STL_0006,
order_entry,ORD_000442,ENT_000117,,
entry_settlement,,ENT_000117,STL_0006,
order_entry,ORD_000487,ENT_000118,,
entry_settlement,,ENT_000118,STL_0006,
order_entry,ORD_000369,ENT_000119,,
entry_settlement,,ENT_000119,STL_0006,
order_entry,ORD_000279,ENT_000120,,
entry_settlement,,ENT_000120,STL_0006,
order_entry,ORD_000070,ENT_000121,,
entry_settlement,,ENT_000121,STL_0006,
order_entry,ORD_000330,ENT_000122,,
entry_settlement,,ENT_000122,STL_0006,
order_entry,ORD_000472,ENT_000123,,
entry_settlement,,ENT_000123,STL_0007,
order_entry,ORD_000290,ENT_000124,,
entry_settlement,,ENT_000124,STL_0007,
order_entry,ORD_000091,ENT_000125,,
entry_settlement,,ENT_000125,STL_0007,
order_entry,ORD_000485,ENT_000126,,
entry_settlement,,ENT_000126,STL_0007,
order_entry,ORD_000134,ENT_000127,,
entry_settlement,,ENT_000127,STL_0007,
order_entry,ORD_000297,ENT_000128,,
entry_settlement,,ENT_000128,STL_0007,
order_entry,ORD_000430,ENT_000129,,
entry_settlement,,ENT_000129,STL_0007,
order_entry,ORD_000157,ENT_000130,,
entry_settlement,,ENT_000130,STL_0007,
order_entry,ORD_000453,ENT_000131,,
entry_settlement,,ENT_000131,STL_0007,
order_entry,ORD_000255,ENT_000132,,
entry_settlement,,ENT_000132,STL_0007,
order_entry,ORD_000374,ENT_000133,,
entry_settlement,,ENT_000133,STL_0007,
order_entry,ORD_000272,ENT_000135,,
entry_settlement,,ENT_000135,STL_0008,
order_entry,ORD_000257,ENT_000136,,
entry_settlement,,ENT_000136,STL_0008,
order_entry,ORD_000203,ENT_000137,,
entry_settlement,,ENT_000137,STL_0008,
order_entry,ORD_000119,ENT_000138,,
entry_settlement,,ENT_000138,STL_0008,
order_entry,ORD_000268,ENT_000139,,
entry_settlement,,ENT_000139,STL_0008,
order_entry,ORD_000164,ENT_000140,,
entry_settlement,,ENT_000140,STL_0008,
order_entry,ORD_000229,ENT_000141,,
entry_settlement,,ENT_000141,STL_0008,
order_entry,ORD_000069,ENT_000142,,
entry_settlement,,ENT_000142,STL_0008,
order_entry,ORD_000267,ENT_000143,,
entry_settlement,,ENT_000143,STL_0008,
order_entry,ORD_000145,ENT_000144,,
entry_settlement,,ENT_000144,STL_0008,
order_entry,ORD_000340,ENT_000145,,
entry_settlement,,ENT_000145,STL_0008,
order_entry,ORD_000266,ENT_000146,,
entry_settlement,,ENT_000146,STL_0008,
order_entry,ORD_000021,ENT_000147,,
entry_settlement,,ENT_000147,STL_0008,
order_entry,ORD_000387,ENT_000148,,
entry_settlement,,ENT_000148,STL_0008,
order_entry,ORD_000120,ENT_000149,,
entry_settlement,,ENT_000149,STL_0008,
order_entry,ORD_000386,ENT_000150,,
entry_settlement,,ENT_000150,STL_0008,
order_entry,ORD_000186,ENT_000151,,
entry_settlement,,ENT_000151,STL_0008,
order_entry,ORD_000135,ENT_000152,,
entry_settlement,,ENT_000152,STL_0008,
order_entry,ORD_000065,ENT_000153,,
entry_settlement,,ENT_000153,STL_0008,
order_entry,ORD_000447,ENT_000154,,
entry_settlement,,ENT_000154,STL_0008,
order_entry,ORD_000367,ENT_000155,,
entry_settlement,,ENT_000155,STL_0008,
order_entry,ORD_000408,ENT_000156,,
entry_settlement,,ENT_000156,STL_0009,
order_entry,ORD_000232,ENT_000157,,
entry_settlement,,ENT_000157,STL_0009,
order_entry,ORD_000192,ENT_000158,,
entry_settlement,,ENT_000158,STL_0009,
order_entry,ORD_000381,ENT_000159,,
entry_settlement,,ENT_000159,STL_0009,
order_entry,ORD_000405,ENT_000160,,
entry_settlement,,ENT_000160,STL_0009,
order_entry,ORD_000056,ENT_000161,,
entry_settlement,,ENT_000161,STL_0009,
order_entry,ORD_000078,ENT_000162,,
entry_settlement,,ENT_000162,STL_0009,
order_entry,ORD_000349,ENT_000163,,
entry_settlement,,ENT_000163,STL_0009,
order_entry,ORD_000158,ENT_000164,,
entry_settlement,,ENT_000164,STL_0009,
order_entry,ORD_000087,ENT_000165,,
entry_settlement,,ENT_000165,STL_0009,
order_entry,ORD_000125,ENT_000166,,
entry_settlement,,ENT_000166,STL_0009,
order_entry,ORD_000208,ENT_000167,,
entry_settlement,,ENT_000167,STL_0009,
order_entry,ORD_000012,ENT_000168,,
entry_settlement,,ENT_000168,STL_0009,
order_entry,ORD_000287,ENT_000169,,
entry_settlement,,ENT_000169,STL_0009,
order_entry,ORD_000274,ENT_000170,,
entry_settlement,,ENT_000170,STL_0009,
order_entry,ORD_000424,ENT_000171,,
entry_settlement,,ENT_000171,STL_0009,
order_entry,ORD_000137,ENT_000172,,
entry_settlement,,ENT_000172,STL_0009,
order_entry,ORD_000471,ENT_000173,,
entry_settlement,,ENT_000173,STL_0009,
order_entry,ORD_000373,ENT_000174,,
entry_settlement,,ENT_000174,STL_0009,
order_entry,ORD_000352,ENT_000175,,
entry_settlement,,ENT_000175,STL_0009,
order_entry,ORD_000458,ENT_000176,,
entry_settlement,,ENT_000176,STL_0009,
order_entry,ORD_000351,ENT_000177,,
entry_settlement,,ENT_000177,STL_0009,
order_entry,ORD_000178,ENT_000178,,
entry_settlement,,ENT_000178,STL_0009,
order_entry,ORD_000214,ENT_000179,,
entry_settlement,,ENT_000179,STL_0009,
order_entry,ORD_000006,ENT_000180,,
entry_settlement,,ENT_000180,STL_0009,
order_entry,ORD_000284,ENT_000181,,
entry_settlement,,ENT_000181,STL_0009,
order_entry,ORD_000379,ENT_000182,,
entry_settlement,,ENT_000182,STL_0009,
order_entry,ORD_000104,ENT_000183,,
entry_settlement,,ENT_000183,STL_0009,
order_entry,ORD_000250,ENT_000184,,
entry_settlement,,ENT_000184,STL_0009,
order_entry,ORD_000451,ENT_000185,,
entry_settlement,,ENT_000185,STL_0009,
order_entry,ORD_000224,ENT_000186,,
entry_settlement,,ENT_000186,STL_0009,
order_entry,ORD_000339,ENT_000187,,
entry_settlement,,ENT_000187,STL_0009,
order_entry,ORD_000165,ENT_000188,,
entry_settlement,,ENT_000188,STL_0009,
order_entry,ORD_000253,ENT_000189,,
entry_settlement,,ENT_000189,STL_0009,
order_entry,ORD_000242,ENT_000190,,
entry_settlement,,ENT_000190,STL_0009,
order_entry,ORD_000348,ENT_000191,,
entry_settlement,,ENT_000191,STL_0009,
order_entry,ORD_000210,ENT_000192,,
entry_settlement,,ENT_000192,STL_0009,
order_entry,ORD_000043,ENT_000193,,
entry_settlement,,ENT_000193,STL_0009,
order_entry,ORD_000240,ENT_000194,,
entry_settlement,,ENT_000194,STL_0009,
order_entry,ORD_000072,ENT_000195,,
entry_settlement,,ENT_000195,STL_0009,
order_entry,ORD_000014,ENT_000196,,
entry_settlement,,ENT_000196,STL_0009,
order_entry,ORD_000196,ENT_000197,,
entry_settlement,,ENT_000197,STL_0009,
order_entry,ORD_000469,ENT_000198,,
entry_settlement,,ENT_000198,STL_0009,
order_entry,ORD_000361,ENT_000199,,
entry_settlement,,ENT_000199,STL_0009,
order_entry,ORD_000331,ENT_000200,,
entry_settlement,,ENT_000200,STL_0009,
order_entry,ORD_000036,ENT_000201,,
entry_settlement,,ENT_000201,STL_0009,
order_entry,ORD_000198,ENT_000202,,
entry_settlement,,ENT_000202,STL_0009,
order_entry,ORD_000231,ENT_000203,,
entry_settlement,,ENT_000203,STL_0009,
order_entry,ORD_000179,ENT_000204,,
entry_settlement,,ENT_000204,STL_0009,
order_entry,ORD_000342,ENT_000205,,
entry_settlement,,ENT_000205,STL_0009,
order_entry,ORD_000441,ENT_000206,,
entry_settlement,,ENT_000206,STL_0009,
order_entry,ORD_000103,ENT_000207,,
entry_settlement,,ENT_000207,STL_0009,
order_entry,ORD_000410,ENT_000208,,
entry_settlement,,ENT_000208,STL_0010,
order_entry,ORD_000238,ENT_000209,,
entry_settlement,,ENT_000209,STL_0010,
order_entry,ORD_000446,ENT_000210,,
entry_settlement,,ENT_000210,STL_0010,
order_entry,ORD_000131,ENT_000211,,
entry_settlement,,ENT_000211,STL_0010,
order_entry,ORD_000146,ENT_000212,,
entry_settlement,,ENT_000212,STL_0010,
order_entry,ORD_000227,ENT_000213,,
entry_settlement,,ENT_000213,STL_0010,
order_entry,ORD_000050,ENT_000214,,
entry_settlement,,ENT_000214,STL_0010,
order_entry,ORD_000195,ENT_000215,,
entry_settlement,,ENT_000215,STL_0010,
order_entry,ORD_000066,ENT_000216,,
entry_settlement,,ENT_000216,STL_0010,
order_entry,ORD_000375,ENT_000217,,
entry_settlement,,ENT_000217,STL_0010,
order_entry,ORD_000273,ENT_000218,,
entry_settlement,,ENT_000218,STL_0010,
order_entry,ORD_000394,ENT_000219,,
entry_settlement,,ENT_000219,STL_0010,
order_entry,ORD_000124,ENT_000220,,
entry_settlement,,ENT_000220,STL_0010,
order_entry,ORD_000112,ENT_000221,,
entry_settlement,,ENT_000221,STL_0010,
order_entry,ORD_000144,ENT_000222,,
entry_settlement,,ENT_000222,STL_0010,
order_entry,ORD_000406,ENT_000223,,
entry_settlement,,ENT_000223,STL_0010,
order_entry,ORD_000293,ENT_000224,,
entry_settlement,,ENT_000224,STL_0010,
order_entry,ORD_000194,ENT_000225,,
entry_settlement,,ENT_000225,STL_0010,
order_entry,ORD_000156,ENT_000226,,
entry_settlement,,ENT_000226,STL_0010,
order_entry,ORD_000271,ENT_000227,,
entry_settlement,,ENT_000227,STL_0010,
order_entry,ORD_000113,ENT_000228,,
entry_settlement,,ENT_000228,STL_0011,
order_entry,ORD_000051,ENT_000229,,
entry_settlement,,ENT_000229,STL_0011,
order_entry,ORD_000322,ENT_000230,,
entry_settlement,,ENT_000230,STL_0011,
order_entry,ORD_000395,ENT_000231,,
entry_settlement,,ENT_000231,STL_0011,
order_entry,ORD_000163,ENT_000232,,
entry_settlement,,ENT_000232,STL_0011,
order_entry,ORD_000068,ENT_000233,,
entry_settlement,,ENT_000233,STL_0011,
order_entry,ORD_000009,ENT_000234,,
entry_settlement,,ENT_000234,STL_0011,
order_entry,ORD_000414,ENT_000235,,
entry_settlement,,ENT_000235,STL_0011,
order_entry,ORD_000149,ENT_000236,,
entry_settlement,,ENT_000236,STL_0011,
order_entry,ORD_000254,ENT_000237,,
entry_settlement,,ENT_000237,STL_0011,
order_entry,ORD_000334,ENT_000238,,
entry_settlement,,ENT_000238,STL_0011,
order_entry,ORD_000136,ENT_000239,,
entry_settlement,,ENT_000239,STL_0011,
order_entry,ORD_000278,ENT_000240,,
entry_settlement,,ENT_000240,STL_0011,
order_entry,ORD_000004,ENT_000241,,
entry_settlement,,ENT_000241,STL_0011,
order_entry,ORD_000323,ENT_000242,,
entry_settlement,,ENT_000242,STL_0011,
order_entry,ORD_000075,ENT_000243,,
entry_settlement,,ENT_000243,STL_0011,
order_entry,ORD_000212,ENT_000244,,
entry_settlement,,ENT_000244,STL_0012,
order_entry,ORD_000486,ENT_000245,,
entry_settlement,,ENT_000245,STL_0012,
order_entry,ORD_000462,ENT_000246,,
entry_settlement,,ENT_000246,STL_0012,
order_entry,ORD_000151,ENT_000247,,
entry_settlement,,ENT_000247,STL_0012,
order_entry,ORD_000024,ENT_000248,,
entry_settlement,,ENT_000248,STL_0012,
order_entry,ORD_000228,ENT_000249,,
entry_settlement,,ENT_000249,STL_0012,
order_entry,ORD_000038,ENT_000250,,
entry_settlement,,ENT_000250,STL_0012,
order_entry,ORD_000027,ENT_000251,,
entry_settlement,,ENT_000251,STL_0013,
order_entry,ORD_000235,ENT_000252,,
entry_settlement,,ENT_000252,STL_0013,
order_entry,ORD_000320,ENT_000253,,
entry_settlement,,ENT_000253,STL_0013,
order_entry,ORD_000060,ENT_000254,,
entry_settlement,,ENT_000254,STL_0013,
order_entry,ORD_000359,ENT_000255,,
entry_settlement,,ENT_000255,STL_0013,
order_entry,ORD_000313,ENT_000256,,
entry_settlement,,ENT_000256,STL_0013,
order_entry,ORD_000077,ENT_000257,,
entry_settlement,,ENT_000257,STL_0013,
order_entry,ORD_000295,ENT_000258,,
entry_settlement,,ENT_000258,STL_0013,
order_entry,ORD_000285,ENT_000259,,
entry_settlement,,ENT_000259,STL_0013,
order_entry,ORD_000286,ENT_000260,,
entry_settlement,,ENT_000260,STL_0013,
order_entry,ORD_000237,ENT_000261,,
entry_settlement,,ENT_000261,STL_0013,
order_entry,ORD_000360,ENT_000262,,
entry_settlement,,ENT_000262,STL_0013,
order_entry,ORD_000288,ENT_000263,,
entry_settlement,,ENT_000263,STL_0013,
order_entry,ORD_000260,ENT_000264,,
entry_settlement,,ENT_000264,STL_0013,
order_entry,ORD_000239,ENT_000265,,
entry_settlement,,ENT_000265,STL_0013,
order_entry,ORD_000101,ENT_000266,,
entry_settlement,,ENT_000266,STL_0013,
order_entry,ORD_000003,ENT_000267,,
entry_settlement,,ENT_000267,STL_0013,
order_entry,ORD_000413,ENT_000268,,
entry_settlement,,ENT_000268,STL_0014,
order_entry,ORD_000475,ENT_000269,,
entry_settlement,,ENT_000269,STL_0014,
order_entry,ORD_000261,ENT_000270,,
entry_settlement,,ENT_000270,STL_0014,
order_entry,ORD_000133,ENT_000271,,
entry_settlement,,ENT_000271,STL_0014,
order_entry,ORD_000496,ENT_000272,,
entry_settlement,,ENT_000272,STL_0014,
order_entry,ORD_000259,ENT_000273,,
entry_settlement,,ENT_000273,STL_0014,
order_entry,ORD_000398,ENT_000274,,
entry_settlement,,ENT_000274,STL_0014,
order_entry,ORD_000335,ENT_000275,,
entry_settlement,,ENT_000275,STL_0014,
order_entry,ORD_000324,ENT_000276,,
entry_settlement,,ENT_000276,STL_0014,
order_entry,ORD_000022,ENT_000277,,
entry_settlement,,ENT_000277,STL_0014,
order_entry,ORD_000015,ENT_000278,,
entry_settlement,,ENT_000278,STL_0014,
order_entry,ORD_000392,ENT_000279,,
entry_settlement,,ENT_000279,STL_0014,
order_entry,ORD_000358,ENT_000280,,
entry_settlement,,ENT_000280,STL_0014,
order_entry,ORD_000018,ENT_000281,,
entry_settlement,,ENT_000281,STL_0014,
order_entry,ORD_000467,ENT_000282,,
entry_settlement,,ENT_000282,STL_0014,
order_entry,ORD_000422,ENT_000283,,
entry_settlement,,ENT_000283,STL_0014,
order_entry,ORD_000412,ENT_000284,,
entry_settlement,,ENT_000284,STL_0014,
order_entry,ORD_000438,ENT_000285,,
entry_settlement,,ENT_000285,STL_0014,
order_entry,ORD_000211,ENT_000286,,
entry_settlement,,ENT_000286,STL_0014,
order_entry,ORD_000448,ENT_000287,,
entry_settlement,,ENT_000287,STL_0014,
order_entry,ORD_000315,ENT_000288,,
entry_settlement,,ENT_000288,STL_0014,
order_entry,ORD_000377,ENT_000289,,
entry_settlement,,ENT_000289,STL_0014,
order_entry,ORD_000099,ENT_000290,,
entry_settlement,,ENT_000290,STL_0014,
order_entry,ORD_000042,ENT_000291,,
entry_settlement,,ENT_000291,STL_0014,
order_entry,ORD_000207,ENT_000292,,
entry_settlement,,ENT_000292,STL_0014,
order_entry,ORD_000299,ENT_000293,,
entry_settlement,,ENT_000293,STL_0014,
order_entry,ORD_000200,ENT_000294,,
entry_settlement,,ENT_000294,STL_0014,
order_entry,ORD_000282,ENT_000295,,
entry_settlement,,ENT_000295,STL_0014,
order_entry,ORD_000226,ENT_000296,,
entry_settlement,,ENT_000296,STL_0014,
order_entry,ORD_000312,ENT_000297,,
entry_settlement,,ENT_000297,STL_0014,
order_entry,ORD_000184,ENT_000298,,
entry_settlement,,ENT_000298,STL_0014,
order_entry,ORD_000338,ENT_000299,,
entry_settlement,,ENT_000299,STL_0014,
order_entry,ORD_000269,ENT_000300,,
entry_settlement,,ENT_000300,STL_0014,
order_entry,ORD_000404,ENT_000301,,
entry_settlement,,ENT_000301,STL_0014,
order_entry,ORD_000248,ENT_000302,,
entry_settlement,,ENT_000302,STL_0014,
order_entry,ORD_000437,ENT_000303,,
entry_settlement,,ENT_000303,STL_0014,
order_entry,ORD_000090,ENT_000304,,
entry_settlement,,ENT_000304,STL_0014,
order_entry,ORD_000417,ENT_000305,,
entry_settlement,,ENT_000305,STL_0014,
order_entry,ORD_000492,ENT_000306,,
entry_settlement,,ENT_000306,STL_0014,
order_entry,ORD_000403,ENT_000307,,
entry_settlement,,ENT_000307,STL_0014,
order_entry,ORD_000382,ENT_000308,,
entry_settlement,,ENT_000308,STL_0014,
order_entry,ORD_000388,ENT_000309,,
entry_settlement,,ENT_000309,STL_0014,
order_entry,ORD_000357,ENT_000310,,
entry_settlement,,ENT_000310,STL_0014,
order_entry,ORD_000044,ENT_000311,,
entry_settlement,,ENT_000311,STL_0014,
order_entry,ORD_000483,ENT_000313,,
entry_settlement,,ENT_000313,STL_0015,
order_entry,ORD_000399,ENT_000314,,
entry_settlement,,ENT_000314,STL_0015,
order_entry,ORD_000001,ENT_000315,,
entry_settlement,,ENT_000315,STL_0015,
order_entry,ORD_000205,ENT_000316,,
entry_settlement,,ENT_000316,STL_0015,
order_entry,ORD_000150,ENT_000317,,
entry_settlement,,ENT_000317,STL_0015,
order_entry,ORD_000317,ENT_000318,,
entry_settlement,,ENT_000318,STL_0015,
order_entry,ORD_000397,ENT_000319,,
entry_settlement,,ENT_000319,STL_0015,
order_entry,ORD_000301,ENT_000320,,
entry_settlement,,ENT_000320,STL_0015,
order_entry,ORD_000439,ENT_000321,,
entry_settlement,,ENT_000321,STL_0015,
order_entry,ORD_000215,ENT_000322,,
entry_settlement,,ENT_000322,STL_0015,
order_entry,ORD_000191,ENT_000323,,
entry_settlement,,ENT_000323,STL_0015,
order_entry,ORD_000130,ENT_000325,,
entry_settlement,,ENT_000325,STL_0015,
order_entry,ORD_000236,ENT_000326,,
entry_settlement,,ENT_000326,STL_0015,
order_entry,ORD_000185,ENT_000327,,
entry_settlement,,ENT_000327,STL_0016,
order_entry,ORD_000182,ENT_000328,,
entry_settlement,,ENT_000328,STL_0016,
order_entry,ORD_000303,ENT_000329,,
